SSN,SSN_Description,ExplanationInfluencer,ExplanationInfluencerValue,ExplanationRank,PredictedCategory,OutlierIndicator,ExplanationStrength,PredictionProbability
2,C,,,0,0,0,,0.36
2,C,age,48,1,,,0.95,
2,C,capital_gain,0,6,,,-0.3,
2,C,capital_loss,0,8,,,-0.11,
2,C,education_num,9,3,,,-0.65,
2,C,hours_per_week,40,10,,,-0.07,
2,C,marital_status,Married-civ-spouse,4,,,0.59,
2,C,occupation,Transport-moving,5,,,-0.42,
2,C,relationship,Husband,2,,,0.77,
2,C,sex,Male,7,,,0.14,
2,C,workclass,Private,9,,,0.09,
